filename,qt_error,qrs_error,tpeakqt_error,tmag_error,HR_error,num_beats_error,num_removed_beats_error,median_sig_corr_error,baseline,missing_lead,hf_noise,lf_noise,probability,NNet_prob_flag,NNet_NaN
1.dat,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
10.dat,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
100.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
111.dat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
113.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
115.dat,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0
118.dat,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
119.dat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12.dat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
120.dat,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
122.dat,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
125.dat,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
126.dat,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
127.dat,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
128.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
129.dat,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
130.dat,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
132.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
133.dat,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
138.dat,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
141.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
142.dat,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
146.dat,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0
148.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
150.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
153.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
155.dat,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
156.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
157.dat,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
16.dat,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
160.dat,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
164.dat,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
165.dat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
